source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
54,54,900.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,794.4679641723633,377.94581604003906,748.9047619047619,363.14285714285717,643.1904761904763,224.95238095238096,211.42857142857142,276.3809523809524
55,55,916.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,786.7476348876953,488.9093170166016,747.0952380952381,362.7142857142857,639.952380952381,224.1904761904762,214.28571428571428,277.04761904761904
56,56,933.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,780.845573425293,494.2239990234375,745.2857142857143,362.28571428571433,636.7142857142858,223.42857142857144,217.14285714285714,277.7142857142857
57,57,950.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,774.5673294067383,367.8798904418946,743.4761904761905,361.8571428571429,633.4761904761905,222.66666666666666,220.0,278.3809523809524
58,58,966.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,771.6375045776367,383.4595260620117,741.6666666666667,361.42857142857144,630.2380952380953,221.9047619047619,222.85714285714286,279.04761904761904
59,59,983.3333333333331,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,767.7995223999023,374.1520309448242,739.8571428571429,361.0,627.0,221.14285714285714,225.71428571428572,279.7142857142857
60,60,1000.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,764.1937713623047,374.2193756103515,738.047619047619,360.57142857142856,623.7619047619048,220.38095238095238,228.57142857142856,280.3809523809524
61,61,1016.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,763.4723587036133,484.7930145263672,736.2380952380952,360.1428571428571,620.5238095238095,219.61904761904762,231.42857142857144,281.04761904761904
62,62,1033.3333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,750.0789756774902,365.8795776367187,734.4285714285714,359.7142857142857,617.2857142857143,218.85714285714286,234.28571428571428,281.7142857142857
63,63,1050.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,744.4594879150391,369.77925872802734,732.6190476190476,359.28571428571433,614.047619047619,218.0952380952381,237.14285714285714,282.3809523809524
64,64,1066.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,738.7679176330566,366.1762161254883,730.8095238095239,358.8571428571429,610.8095238095239,217.33333333333334,240.0,283.04761904761904
65,65,1083.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,744.0326652526855,371.45957946777344,729.0,358.42857142857144,607.5714285714286,216.57142857142856,242.85714285714286,283.7142857142857
66,66,1100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,742.6037330627441,371.6449203491211,727.1904761904763,358.0,604.3333333333334,215.8095238095238,245.71428571428572,284.3809523809524
67,67,1116.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,749.7857284545898,363.79286193847656,725.3809523809524,357.57142857142856,601.0952380952381,215.04761904761904,248.57142857142858,285.04761904761904
68,68,1133.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,744.3614807128906,370.45404052734375,723.5714285714287,357.1428571428571,597.8571428571429,214.28571428571428,251.42857142857144,285.7142857142857
69,69,1150.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,745.4826583862305,365.5670318603515,717.3469387755102,363.57142857142856,592.1428571428572,228.16326530612244,250.40816326530611,270.81632653061223
