frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
70,70,45,1166.6666666666667,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,704.7081298828125,503.0789985656738,707.4331855773926,470.79840087890625,31.454087633588955,29.077278517689404,32.39541503906853,0.0725491701600671,676.543758392334,456.49378204345703,40.72037887573242,92.8630599975586,696.9039478302002,502.9253120422363,101.39870397541263,0.4122817518681572,711.2217898832685,545.0891670083389,44.528544403103304,0.11875685223491803,1.0,True
71,71,46,1183.3333333333333,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,697.9015007019043,542.6846389770508,710.8018684387207,503.9085998535156,40.18627817056073,33.28112528684133,40.86564202181366,0.19382947520120847,674.8178634643555,481.1420211791992,38.744964599609375,74.43123626708984,694.1903457641602,518.3576393127441,83.91174657979855,0.40016492849159324,719.4396887159533,544.5659053285448,36.39234159891658,0.09788552269114514,1.0,True
72,72,47,1200.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,730.9385566711426,505.56249237060547,726.8061370849609,466.8314743041992,49.6940724411373,40.38378206533905,38.95084918325331,0.04381739613038101,694.4273681640625,454.3326187133789,39.93134307861328,103.37812042236328,714.3930397033691,506.02167892456055,110.82214554015168,0.6158074061729479,727.657587548638,544.0426436487506,40.268374540047375,0.10924258317236124,1.0,True
73,73,48,1216.6666666666665,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,732.6922378540039,503.370304107666,726.813175201416,465.5704040527344,2.8073273894028468,1.2610898914085544,38.2543569000431,0.01593826635476706,692.2014579772949,453.0458526611328,43.1251335144043,105.39039611816406,713.7640247344971,505.74105072021484,113.87235281041104,0.0697997911571519,735.875486381323,543.5193819689566,43.77349709697309,0.11978160754714762,1.0,True
74,74,49,1233.3333333333335,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,752.7660636901855,507.3373260498047,746.6092987060547,467.1181106567383,20.462056269856244,19.856532968848942,40.68772593674522,0.05568429799055762,702.5950622558594,453.09017181396484,52.86537170410156,105.62512969970703,729.0277481079102,505.90273666381836,118.1161104570107,0.09711254718405919,744.0933852140078,542.9961202891625,40.03614030085284,0.11051323572693351,1.0,True
75,75,50,1250.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,752.6526679992676,510.72469329833984,744.9709243774414,477.49557876586914,3.3892647372501603,10.50600375007962,34.105472254222235,0.15062580725683974,706.3420391082764,463.106689453125,47.59306526184082,94.52987670898438,730.1385717391968,510.3716278076172,105.83476485367946,0.28104167431495064,752.3112840466927,542.4728586093686,39.01433313614744,0.10864311127542149,1.0,True
76,76,51,1266.6666666666665,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,753.7737197875977,509.36490631103516,747.0348415374756,470.18959045410156,1.7623216967855853,7.591918022158039,39.7506962525247,0.1291831738645579,707.9311504364014,455.40308380126953,46.4212589263916,104.4253921508789,731.1417798995972,507.615779876709,114.27858857273279,0.19322527288698396,760.5291828793773,541.9495969295745,45.19325665755488,0.12696991648523442,1.0,True
77,77,52,1283.3333333333335,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,753.2821044921875,508.9877243041992,746.8379783630371,468.4154357910156,0.6196384953842041,1.7850433826659706,41.08086363217561,0.030439047932567114,705.8003635406494,453.95178985595703,48.7631893157959,104.5128402709961,730.1819581985474,506.2082099914551,115.3290180906735,0.0240376323577955,760.9027237354085,542.3233552722845,47.413807628434675,0.1330577335483102,1.0,True
78,78,53,1300.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,769.9823608398438,507.7432670593262,767.5984344482422,468.456485748291,16.746558927485665,20.76049666950964,39.35904331690083,0.03940148579021042,728.7003364562988,453.2682647705078,45.14323806762695,102.89201354980469,751.2719554901123,504.71427154541016,112.3595941411486,0.06795117615605802,761.2762645914397,542.6971136149946,39.278269975622585,0.11009968050207822,1.0,True
79,79,54,1316.6666666666667,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,767.8629722595215,507.90344619750977,767.6289863586426,468.67837142944336,2.1254329701756456,0.2239791836969522,39.22577264965229,0.0030497156150740196,729.3986778259277,453.62606048583984,40.698177337646484,103.33184051513672,749.747766494751,505.2919807434082,111.05769177707671,0.029792241991310132,761.6498054474707,543.0708719577046,39.60938212865359,0.11089720277787925,1.0,True
80,80,55,1333.3333333333333,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,786.6604423522949,505.9198989868164,785.8626899719238,468.92566299438477,18.90183434023696,18.235380461484123,37.00283645241419,0.050868832369447205,744.1340675354004,456.7686233520508,44.80784225463867,104.38806915283203,766.5379886627197,508.9626579284668,113.59846701858712,0.058142141015750826,762.023346303502,543.4446303004146,34.776262224273246,0.09724890257418564,1.0,True
81,81,56,1350.0,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,786.9363479614258,507.5233154296875,786.0485420227051,468.2154121398926,1.6269813134818918,0.734164328394181,39.317927977256105,0.05297768008071047,744.802375793457,456.37223052978516,43.792442321777344,105.0140609741211,766.6985969543457,508.8792610168457,113.77930834199432,0.004138304543918007,762.396887159533,543.8183886431246,35.202945138783434,0.09832198269096441,1.0,True
82,82,57,1366.6666666666667,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,787.3082656860352,506.6758613586426,785.8143043518066,466.13697814941406,0.9254734984910299,2.0915915326000847,40.566402013484506,0.02856960831598143,744.8936347961426,455.06614685058594,44.28689956665039,106.20635986328125,767.0370845794678,508.16932678222656,115.07006712710033,0.029537236539009866,762.7704280155642,544.1921469858347,36.274618311648446,0.10118937474506547,1.0,True
83,83,58,1383.3333333333333,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,789.0647888183594,506.35667419433594,788.1231575012207,464.48855209350586,1.7852882008931217,2.8369193374779464,41.878709600314004,0.03003035117900566,745.854248046875,453.61000061035156,47.33148956298828,107.65705871582031,769.5199928283691,507.4385299682617,117.60234774694275,0.05794775330178623,766.6718547341115,543.0708719577045,35.74598839389632,0.09986553058031147,1.0,True
